,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
0,chanaka-lakshan-balasuriya,Java JavaScript Python Programming Language MySQL Bootstrap Nodejs Git HTML C Programming Language Adobe Photoshop Adobe Premiere Pro ObjectOriented Programming OOP Flutter Angular Adobe Illustrator Artificial Intelligence AI TensorFlow Android NoSQL JSON Web Application Development Android Studio Adobe XD Unreal Engine SASS                           ,"Bachelor of Science with Honours , Computer Science and Software Engineering University of Bedfordshire","Higher National Diploma, Computer Science SLIIT", ,Software Engineer Nova Solutions, , , ,Software Engineer,1
1,aayushdheemar,Python Programming Language HTML Cascading Style Sheets CSS Bootstrap Machine Learning Data Analysis C Programming Language Adobe Photoshop Deep Learning Adobe Illustrator Data Science Image Processing Computer Vision Google Cloud Platform GCP Django Django REST Framework Adobe XD Optical Character Recognition OCR                                  ,"Bachelor of Technology - BTech, Computer Science Indian Institute of Information Technology Vadodara",Science Atomic Energy Central School RRCAT Indore,Deep Learning Nanodegree Udacity,Software Engineer Searce Inc,Software Engineering Analyst Searce Inc,Machine Learning Intern Ignitus, ,Software Engineer,1
2,gunarakulan-gunaretnam-161119156,Software Development Databases English Teamwork ObjectOriented Programming OOP Team Leadership C Web Services Software Design ASPNET Software Business                                        ,"Computing and System Development Specialized in Software Engineering, Artificial Intelligence University of Wolverhampton", , ,Software Engineer araCreate,Teacher Sri Lanka Unites Youth Reconciliation Center - Batticaloa,Co-Founder AI4Life,Guardian at Software Lab DreamSpace Academy,Software Engineer,1
3,nibraz-munas-197265157,Java JavaScript Python Programming Language Microsoft Office Leadership Public Speaking ObjectOriented Programming OOP Database Management System DBMS Software Quality                                           ,"BSc (Hons) in Information Technology, Software Engineering SLIIT",Diploma in Information Technology (DiTEC) ESOFT Metro Campus, ,Software Engineer GrubTech,Automation and Quality Assurance Intern N-Able Private Limited, , ,Software Engineer,1
4,nuwan-rathnayaka-8464a8a7,Java JavaScript MySQL HTML Cascading Style Sheets CSS SQL Web Development Git Linux HTML Machine Learning Microsoft Azure Teamwork ObjectOriented Programming OOP Reactjs MongoDB Angular Deep Learning Python Data Structures Data Visualization Data Science Time Series Analysis Computer Vision TensorFlow Ubuntu Keras Agile Methodologies Amazon Web Services AWS Django jQuery FullStack Development Neural Networks Microsoft Azure Machine Learning Flask TypeScript Jupyter Nginx Continuous Integration and Continuous Delivery CICD Microsoft Bot framework react Single Page Applications Storybooks redux        ,"Bachelor of Applied Science - BASc, Computer Engineering University of Moratuwa", , ,Senior Software Engineer 99x,Software Engineer Creately,Research Development Software Engineer JOHN KEELLS IT,Software Engineering Intern Ellipsis...,Senior Software Engineer,1
5,nimesh-buddhika-weerasinghe-8494a1109,JavaScript HTML Cascading Style Sheets CSS Bootstrap Nodejs Linux Machine Learning Data Analysis English Microsoft Office Leadership C Microsoft Excel Expressjs Algorithms Team Leadership Data Science Matlab RESTful WebServices GNU Octave Proteus Reduxjs Computer Networking Wireshark Kali Linux Redux Thunk Research Projects Nmap                        ,Computer Engineering University of Sri Jayewardenepura," Dhammissara National College,  Naththandiya", ,Intern Software Engineer iLabs,Campus Ambassador STEMUp Educational Foundation,Cloud Skills Challenge - USJ Organizing Committee Leader Microsoft,project Member AIESEC Sri Lanka,Intern Software Engineer,1
6,udara-dharmasena,Java JavaScript Python Programming Language MySQL HTML Cascading Style Sheets CSS AngularJS Linux Data Engineering Machine Learning Microsoft Office Deep Learning Python Natural Language Processing NLP Data Visualization Image Processing Matlab OpenCV Computer Vision TensorFlow Keras Django jQuery Flask Design Patterns Spring MVC Data Pipelines Spring Security Ethical Hacking                       ,"Bachelor of Science (B.Sc.), Electrical and Information Engineering Faculty of Engineering, University of Ruhuna","Software Engineering Diploma, Computer Software Engineering Java Institute for Advanced Technology", ,Software Engineer Virtusa,Software Engineering Trainee Coca-Cola Beverages Sri Lanka Ltd.,Software Engineering Trainee Mobitel (Pvt) Ltd, ,Software Engineer,1
7,suleka-helmini,Java C JavaScript PHP MySQL HTML AngularJS Nodejs SQL HTML Machine Learning Microsoft Office Teamwork Leadership C Project Management Reactjs MongoDB Microsoft Excel Customer Service Deep Learning Python Arduino Research Management Team Management Android NLP Recurrent Neural Networks RNN Raspberry Pi Internet of Things c Play Framework Data Entry Cascading Style Sheets expressjs ES jquery Sencha Ext JS            ,"Bachelor’s Degree, Software Engineering Informatics Institute of Technology, Sri Lanka",Diploma in Computer System Design NIBM,High School Visakha Vidyalaya,Software Engineer WSO2,Mentor Google Summer of Code,Mentor Google Code-in,Developer Google Summer of Code,Software Engineer,1
8,harrish-selvarajah-a90697157,Java JavaScript HTML Nodejs Machine Learning Microsoft Azure Public Speaking C Angular Python DevOps Android JavaFX React Native GitHub Blockchain                                    ,"Bachelor of Engineering - BE, Computer Software Engineering University of Westminster","Biology, Chemistry, Physics, Maths Lyceum International School Wattala", ,Software Engineer Calcey Technologies,Freelance Developer Freelance,Software Engineering Trainee 99X Technology, ,Software Engineer,1
9,zina-youhan-298b06163,Java JavaScript Python Programming Language PHP MySQL HTML Cascading Style Sheets CSS Bootstrap SQL Git HTML Software Development Teamwork Leadership Reactjs Flutter docker WSO Open Banking WSO API Manager WSO Identity Access Management                                ,"B.Sc (Hons), Software Engineering University of Kelaniya Sri Lanka", , ,Software Engineer Intern WSO2, , , ,Software Engineer Intern,1
10,harivarshan-selvarajah,Microsoft Word Leadership Public Speaking Project Management Computer Science Microsoft Excel Microsoft PowerPoint Team Leadership Research                                           ,"Computer Science, Computer Science Informatics Institute of Technology","GCE A/L, Mathematics Royal College Colombo", ,Software Engineer Intern Sysco LABS Sri Lanka,Chairperson IEEE Student Branch of Informatics Institute of Technology,Director Of Public Relations Mozilla Campus Club of IIT, ,Software Engineer Intern,1
11,sanjana-de-zoysa7,JavaScript SQL Web Development HTML Microsoft Office Adobe Photoshop Firebase Microsoft SQL Server Java Development Android Mobile Application Development HTML CSS and PHP                                        ,"Bachelor's degree, Software Engineering General Sir John Kotelawala Defence University",Physical Science stream G/ P De S Kularathna College,Certification of Business English University of Colombo,Software Engineer Intern IFS,Chief Coordinator IEEE WIE Student Branch Affinity group of Kotelawala Defence University,Secretary of IEEE Student Branch in General Sir John Kotelawala Defence University IEEE Student Branch Kotelawala Defence University, ,Software Engineer Intern,1
12,iman-dissanayake-6a9878179,Java JavaScript HTML Cascading Style Sheets CSS Github Android Development Android JavaFX Android Studio Database Management System DBMS React Native NodeJs ReactJs                                       , Mahanama College Colombo,"Bachelor's degree, Computer Science and Software Engineering University of Bedfordshire", ,Senior Software Engineer Fcode Labs,Software Engineer Innovative Software Engineering (Pvt) Ltd,Software Engineer SYNAPSYS LTD, ,Senior Software Engineer,1
13,vigani-ravikkumar-052701182,JavaScript PHP MySQL HTML Cascading Style Sheets CSS AngularJS Nodejs Web Development HTML C Programming Language Programming Microsoft Office ObjectOriented Programming OOP Firebase Visual Studio NET Framework Web Design React Native Banking Blogger Trello Content writing                              ,Web Designing and development DMI Computer education,Grade 6 to 13 Chavakachcheri Hindu College, J/ Chavakachcheri Hindu primary school,Software Engineer Intern Scienter Technologies (Pte) Ltd,Content Writer UCSC ACM Student Chapter,Content Writer UCSC ISACA Student Group,Undergraduate Student University of Colombo School of Computing,Software Engineer Intern,1
14,nimesha-gunawardana,JavaScript PHP MySQL Nodejs Web Development Laravel Linux WordPress Machine Learning CSS Reactjs MongoDB Expressjs HTML jQuery Web Services React Native Gitlab                                  ,"Diploma in Software Engineering, Information Technology Sabaragamuwa University of Sri Lanka", Badulla Central College, Uva College Badulla,Senior Software Engineer Otrium,Senior Software Engineer Gapstars - we're hiring,Co-Founder and TechLead  Priwoo,Senior Software Engineer Cyrup,Senior Software Engineer,1
15,gayakshikagimhani,Java JavaScript Python Programming Language PHP MySQL Cascading Style Sheets CSS XML Web Development Linux HTML Machine Learning Software Development Microsoft Azure Problem Solving English Microsoft Office Teamwork Leadership ObjectOriented Programming OOP MongoDB Arduino Software Project Management Anaconda Google Cloud Platform GCP DevOps Time Management Android Development jQuery Web Services Ionic Framework AJAX JSON Kubernetes Flask Docker OAuth Android Studio Jupyter Internet of Things IoT Jenkins Research and Development RD Interview Preparation Continuous Improvement Jinja VMware Spinnaker Middleware Jaggery Single SignOn SSO A  , Kolonnawa Balika Vidyalaya,Certificate in English Institute of Troy English & Literature,"Diploma in Computer Applications and Graphic Design, Certificate course in ICT Vishu Institute of Technology",Senior Software Engineer Novigi Pty Ltd,Data Scientist | Developer Dialog Network Services (Private) Limited,Software Engineer Trainee LOLC Technologies Limited, ,Senior Software Engineer,1
16,buwaneka-boralessa,Java C JavaScript PHP MySQL XML AngularJS Nodejs SQL Laravel CSS Leadership C Reactjs MongoDB Vuejs Expressjs Python Scrum OpenCV Microsoft SQL Server TensorFlow DevOps Agile Methodologies Django Android Development C jQuery Ionic Framework NET Framework Spring Framework Hibernate JavaFX Flask TypeScript Qt SOAP CodeIgniter CUDA Unity UIUX Redux Vuex Go Orientdb Web Services API Net Core Electron Framework Express Framework KnockoutJS  ,"Bachelor of Science Special Honours Degree Specialized in, Software Engineering SLIIT","A/L, Combined Mathematics S.Thomas' College, Mount Lavinia","O/L Isipathana College, Colombo 05",Senior Software Engineer Wiley,Software Engineer Wiley,Software Engineer Embla Software Innovation (pvt) Ltd,Associate Software Engineer John Keells Computer Services Pvt. Ltd.,Senior Software Engineer,1
17,guli333,                                                   ,"Магистр, Control Science and Engineering Nanjing University of Science and Technology","Bachelor's degree, Automation Nanjing University of Science and Technology", ,Computer Vision Software Engineer IT-холдинг Kazdream ,Computer Vision Intern IT-холдинг Kazdream ,"Sales Engineer JiangSu SEUIC Technology Company Co., Ltd.", ,Computer Vision Software Engineer,1
18,isharamadhavi,Java Python Programming Language PHP Cascading Style Sheets CSS SQL Web Development HTML Microsoft Word Machine Learning Microsoft Office Teamwork Leadership Neural Networks                                       ,"Advanced Level, Physical Sciences Sujatha Vidyalaya , Matara","Ordinary Level Sujatha Vidyalaya, Matara","Primary Education St. Mary's Convent, Matara",Software Engineer Sysco LABS Sri Lanka,Software Engineer Intern Sysco LABS Sri Lanka, , ,Software Engineer,1
19,athul-prathap-5a19bb26,Microsoft Azure Programming Cloud Computing Embedded Systems Mobile Applications Product Development Healthcare Analytics Team Building                                            ,"Bachelor's degree, Aerospace, Aeronautical and Astronautical Engineering Amrita Vishwa Vidyapeetham", , ,Software Engineer Tech Mahindra,Intern L&T Integrated Engineering Services, , ,Software Engineer,1
20,shalindri,Java C JavaScript MySQL HTML Nodejs SQL Git HTML Machine Learning Software Development Microsoft Office CSS C ObjectOriented Programming OOP Reactjs MongoDB Python Scrum Data Science TensorFlow Agile Methodologies Agile Application Development FullStack Development NoSQL JSON Spring Framework Spring Boot Kubernetes Microservices Elasticsearch Angular Agile Web Development Angular JS Customer Success Customer Service Management                ,"Bsc (Hons) in Information Technology, Specializing in Software Engineering SLIIT","G.C.E Advanced Level , Physical Sciences De Mazenod College",G.C.E. Ordinary Level Good Shepherd Convent,Software Engineer WSO2,Associate Software Engineer Pearson,Intern-Technology Virtusa, ,Software Engineer,1
21,sonali-prasadika-36276b181,JavaScript MySQL Cascading Style Sheets CSS Nodejs HTML C Programming Language java ObjectOriented Programming OOP Project Management MongoDB Android Studio Computer Engineering angular                                       ,"Bsc Engineering , Computer Engineering University of Peradeniya", , ,Software Engineer Sysco LABS Sri Lanka,Software Engineer Intern OrangeHRM, , ,Software Engineer,1
22,ishanimaduwanthi,Java C JavaScript PHP MySQL Cascading Style Sheets CSS Nodejs Web Development HTML Machine Learning English Programming Adobe Photoshop Teamwork Leadership Project Management Reactjs MongoDB Firebase Python Data Analytics Matlab Android Development Flask Android Studio Adobe Lightroom Tamil Grafana Mobile Application Development linux Adobe Flash Coral Draw team working                   ,SparkX Proffessional Development Program-2020 by SPARK Sri Lanka (Full Scholarship Program) Spark Teams, Sir John Kothalawala M.V., Ku/Udabadalawa Sudarshana M.V.,Software Engineer Sysco LABS Sri Lanka,Computer Engineer Intern Dialog Axiata PLC,Junior Treasurer SEDS Pera,Editor Engineers Without Borders Sri Lanka,Software Engineer,1
23,amindaabeywardana,Java JavaScript PHP MySQL XML AngularJS Bootstrap Nodejs Web Development Laravel Linux HTML Machine Learning Microsoft Office CSS Adobe Photoshop Teamwork Leadership ObjectOriented Programming OOP MongoDB Adobe Illustrator Firebase Python Natural Language Processing NLP Research Ubuntu Django Creative Problem Solving C Android Spring Boot PhoneGap Mobile Applications TypeScript SQLite UnityD Couchbase Apache Cordova Salesforce Augmented Reality AR KnockoutJS Salesforce Lightning Salesforce CPQ Ionic SerenityJS Symfony Apex     ,"Bachelor of Science (B.Sc.) Hons., Computer Science and Engineering University of Moratuwa","High School, Physical Sciences Rahula College", ,Software Engineer Wiley Global Technology (Private) Limited,Engineer - Technology Virtusa,"Software Engineer Intern ShipXpress, a GE Transportation company","Trainee Peoples Bank, Sri Lanka",Software Engineer,1
24,arvind-kumar-a284aa10b,C Git Linux English C Programming Language Programming C Python Data Structures MATLAB Telecommunications Core Java Jira LTE Wireless Technologies G Wireshark GPP LL protocols                                 ,"Bachelor of Technology - BTech, Electronics and Communications Engineering Lingayas University, Faridabad", , ,Senior Software Engineer Tata Elxsi,Internship Trainee SunSource Energy, , ,Senior Software Engineer,1
25,gshubham55,Java C MySQL Nodejs SQL Git Linux Machine Learning Data Analysis Software Development C Programming Language Programming Microsoft Office Leadership Public Speaking C Computer Science Deep Learning Python Data Structures Algorithms Data Mining Statistics Data Science Data Analytics R Artificial Neural Networks Statistical Modeling Matlab Research Machine Learning Algorithms Predictive Analytics TensorFlow Distributed Systems Shell Scripting Artificial Intelligence Neural Networks Teaching Pattern Recognition Computer Engineering Information Retrieval Unix Architecture         ,"Master’s Degree, Computer Science (AI/ML) UC San Diego","Bachelor’s Degree, Computer Science Indian Institute of Technology, Roorkee", ,"Software Engineer, Behavior Prediction Waymo",Research Engineer Bloomberg LP,Graduate Student Researcher University of California San Diego,Teaching Assistant University of California San Diego,"Software Engineer, Behavior Prediction",1
26,sachin-munasinghe,Java Nodejs SQL Machine Learning Software Development java MongoDB Firebase Python NoSQL Spring Boot Flask Docker c PostgreSQL Internet of Things IoT REST API Redis Mysql RabbitMQ Nodejs IoT                              ,"Diploma, Software Engineering National Institute of Business Management (NIBM - Sri Lanka)", Taxila Central College Horana, ,Software Developer Fiverr,Chief Executive Officer CybernetiX Labs,Associate Machine Learning & IoT Developer (R&D) Techneed Pvt Ltd,Machine Learning Developer OutSmart Hub,Software Developer,1
27,vipul-jha-3000,JavaScript Python Programming Language MySQL SQL English Leadership C MongoDB Deep Learning Natural Language Processing NLP Artificial Intelligence AI R Programming Language Communication C FullStack Development Presentations Oracle SQL Data Science and Machine Learning                                  ,"Bachelor's degree, Computer Science Engineering Sinhgad College of Engineering","High School, Computer Science Delhi Public School, Pune","Schooling Delhi Public School, Pune",Software Intern NVIDIA,Data Science Intern The Sparks Foundation,Excel Automation Intern Internship studio,Technical Team Member Sinhgad Institutes,Software Intern,1
28,subhadeeppaul1,C JavaScript Python Programming Language HTML Cascading Style Sheets CSS Web Development HTML C Programming Language C Research Management Django Web Scrapping in Python                                       ,"Bachelor of Engineering - BE, Computer Engineering Barak Valley Engineering College",Machine Learning Engineer Nanodegree Udacity, ,Software Developer CDAC,Campus Ambassador Coding Blocks,Winter Internship Program Oil & Natural Gas Corporation Limited (Ongc), ,Software Developer,1
29,vaishali-gupta-2000,Python Programming Language python Machine Learning Data Analysis C Data Structures                                              ,"Bachelor of Technology - BTech, Computer Science Amity University", , ,Software Development Intern LimeChat,Data Science & Business Analyst The Sparks Foundation, , ,Software Development Intern,1
30,ace3x,Python Programming Language Git Machine Learning Problem Solving C Programming Language C Database                                             ,"Undergraduate , Computer Engineering Helwan University Cairo", , ,Embedded Software Trainee - Siemens EDA Academy of Excellence Siemens EDA (Siemens Digital Industries Software), , , ,Embedded Software Trainee - Siemens EDA Academy of Excellence,1
31,patel-dhruv36,Java JavaScript Python Programming Language HTML XML Bootstrap SQL Web Development Git Machine Learning Data Analysis Microsoft Azure C Programming Language Microsoft Office Python Data Science OpenCV Microsoft SQL Server TensorFlow Keras Cloud Computing Amazon Web Services AWS MATLAB Web Design GitHub Open Source Software Gitlab R Programming Pytthon Pandas Numpy                     ,Masters in computer science The University of Texas at Arlington,"BE - Bachelor of Engineering, Computer Engineering GANDHINAGAR INSTITUTE OF TECHNOLOGY", ,Software Developer 2 USAA,Software Engineer Intern Care BMW,Machine Learning Engineer SculptSoft,Cashier Chartwells Higher Education Dining Services,Software Developer 2,1
32,juliettetisseyre,Java C Git Linux Machine Learning C Python Team Management Google Cloud Platform GCP Shell Scripting Django C OOP Teaching Kubernetes Natural Language Processing UML Text Mining Jenkins Adobe Creative Suite Ruby docker Gitlab Code Mining Agile Methodolgy Architecture Code Analysis                         ,"Master's degree, Cognitive Science and Advanced Computing EPITA: Ecole d'Ingénieurs en Informatique","Intensive foundation degree, Mathematics, physics, chemistry Lycée Jean-Baptiste Corot, Savigny-sur-Orge","Baccalauréat S (Sciences stream), Maths and sciences Lycée Saint-Charles, Athis-Mons",Backend Software engineer Deepomatic,"Lead Software Engineer, R&D Margo","Intern - ML Software engineer Dassault Systèmes, BIOVIA",Head of teaching assistants EPITA,Backend Software engineer,1
33,niranga-kandearachchi,JavaScript MySQL Nodejs SQL Big Data Analytics Data Analysis Scala Project Management Angular Vuejs Python Statistics Data Science Data Analytics Hadoop R Tableau Time Series Analysis Statistical Data Analysis PowerBI Research Operations Research Apache Spark Business Intelligence BI Econometrics Amazon Web Services AWS Apache Spark Streaming Apache Kafka C Matplotlib Operations Management Spark NoSQL SQL Server Reporting Services SSRS SciPy Pandas Cassandra Economics Apache Flume Superset Chess SpagoBI Zabbix Grafana MariaDB SQL Report Writing      ,"Bachelor of Applied Science - BASc, Industrial Management with Mathematics and Statistics Wayamba University of Sri Lanka", , ,Software Engineer Apigate,Data Engineer Wavenet,Trainee Software Engineer 99X Technology, ,Software Engineer,0
34,supunprabhathperera,Java Python Programming Language HTML SQL Big Data Analytics Machine Learning Software Development Problem Solving English Microsoft Office Teamwork ObjectOriented Programming OOP Microsoft Excel Data Mining Statistics Data Visualization Data Science Data Analytics Hadoop R Tableau Statistical Data Analysis Minitab Artificial Intelligence AI Management Microsoft Power BI Analytics Business Intelligence BI Predictive Analytics Extract Transform Load ETL Data Warehousing Communication Business Intelligence Tools SQL Server Reporting Services SSRS Dashboard Modeling Azure Data Factory Oracle Database Database Management System DBMS Regression Models SQL Server Integration Services SSIS Statistical Analysis Internet of Things IoT Business Analytics Interpersonal Skills College Basketball OOAD Knowledge Sharing Query Writing Product Knowledge : null,"Bachelor of Applied Science - BASc, Computer Science, Statistics and Mathematics University of Sri Jayewardenepura", , ,Software Engineer Sri Lanka Air Force,Data Analyst Leaf Digital (Pvt) Ltd,Intern Data Analyst MAS Active Linea Intimo, ,Software Engineer,0
35,budhitha-perera,Java Python Programming Language PHP Video Editing HTML Microsoft Word Data Analysis Microsoft Office Adobe Premiere Pro Teamwork Public Speaking Project Management Microsoft Excel Python Data Structures Hadoop Image Processing Matlab Research Management Google Cloud Platform GCP Apache Spark Ubuntu Strategic Planning Amazon Web Services AWS Apache Kafka Neural Networks Photoshop Prolog NetLogo IntelliJ IDEA Social Media Sales Kafka Streams Photo Editing Windows After Effects Adobe Audition Networkx Scilab Database Systems Windows Windows Statistical Physics Quantum Theory       ,"Bachelor of Science (B.Sc.) Computational Physics Special Degree, Physical Sciences University of Colombo","Advance Level, Maths scheme Thurstan College, Colombo 07"," S.De.S Jayasinghe Central College, Dehiwala",Senior Software Engineer Creative Software,Software Engineer (Python) Oneflow,Software Engineer | Data Engineer Creative Software,Data Engineer Axiata Digital Labs,Senior Software Engineer,0
36,malitha-gunawardhana,Python Programming Language MySQL SQL Machine Learning Teamwork Public Speaking C Microsoft Excel Deep Learning Team Leadership Data Science Tableau Matlab MATLAB NumPy Teaching Algorithm Development pandas Chess Biomedical Engineering Compering                               ,"BSc engineering (Hon's), Biomedical/Medical Engineering University of Moratuwa",Combined Mathematics R/Eheliyagoda central college, ,Software Engineer Xeptagon,Research Engineer Synergen Technology Labs (Pvt) Ltd, , ,Software Engineer,0
37,vindaya-fernando-063189184,Java JavaScript PHP HTML CSS C Computer Science Angular C Oracle Database c ASPNET Core                                        ,"Bachelor's Degree, B.Sc Special Degree in Computer Science & Technology, Second Class Upper Division Uva Wellassa University of Sri Lanka"," Rathnavali Balika Vidyalaya, Gampaha", Mary Immaculate Convent Jaela,Software Engineer Data Capture Experts,Associate Software Engineer Data Capture Experts,Trainee Software Engineer Creative Software,Trainee Banking Assistant Bank of Ceylon,Software Engineer,0
38,s-s-r,Java JavaScript PHP MySQL HTML Cascading Style Sheets CSS XML SQL Web Development Git HTML Software Development Databases Graphic Design Microsoft Office Teamwork ObjectOriented Programming OOP Microsoft Excel NetBeans Computer Hardware Troubleshooting Android Development Windows Android JavaSE Web Applications AJAX IntelliJ IDEA JavaServer Pages JSP Database Design DBMS Java Database Connectivity JDBC Android SDK Computer Maintenance Cisco Certified Entry Networking Technician CCENT Jasper Reports Android Design Mathematics for Computer Science React Native Expo SDK              ,"Professional Graduate Diploma in Software Engineering, PCJT Software Engineering Java Institute for Advanced Technology","Business/Commerce, General Nalanda College Colombo", ,Software Engineer HCL Sri Lanka, , , ,Software Engineer,0
39,suneth-priyadarshana-329077183,Python Programming Language Data Engineering Big Data Analytics Machine Learning Data Analysis Software Development Computer Science Data Mining Natural Language Processing NLP Data Science Data Analytics Artificial Neural Networks Artificial Intelligence AI Machine Learning Algorithms R Programming Language Big Data Database Administration Database Development Applied Machine Learning Neural Networks Information Technology Data Pipelines Largescale Data Analysis Google Kubernetes Engine GKE                            ,"Bachelor's degree, Data Science SLIIT","Advanced Level, Mathematics St. Peter's College Colombo", ,Software Engineer Intern IFS, , , ,Software Engineer Intern,0
40,sajith1995s,Java C JavaScript Python Programming Language AngularJS Nodejs SQL Web Development Linux Programming ObjectOriented Programming OOP Computer Science MongoDB Microsoft SQL Server NET Framework ASPNET MVC ASPNET Spring Boot TypeScript c c git ADONET                             ,"Bachelor of Science - BS, Computer Software Engineering SLIIT",GCE Advanced Level Eheliyagoda Central College,GCE Ordinary Level Eheliyagoda Dharmapala College,Software Engineer Data Capture Experts,Freelance Software Developer Self-employed,Associate Software Engineer CodeGen International,Development Infrastructure Intern LSEG Technology,Software Engineer,0
41,sandun-madushanka-b77956b8,JavaScript AngularJS Leadership Angular Agile Methodologies C jQuery ASPNET Frontend Development Angular Material                                          ,"Bachelor of Information Technology, Computer Software Engineering SLIIT", , ,Software Engineer Data Capture Experts,Software Engineer Agile Innovations Group,Associate Software Engineer TeKnowledge Inc, ,Software Engineer,0
42,sachini-epa-aaa347159,Java C JavaScript PHP SQL C C Android c                                           ,"Bachelor's degree, Software Engineering Srilanka Institute of Information Technology","Master's degree, Big Data Analytics Robert Gordon University", ,Software Engineer IFS Sri Lanka,Undergraduate Trainee IFS Sri Lanka,Development Intern eBuilder, ,Software Engineer,0
43,ratnajothy-sangeethanan,Java Python Programming Language SQL Data Analysis ObjectOriented Programming OOP API Development Python R Programming Language NoSQL RESTful architecture Design Patterns Oracle Database Identity Access Management IAM Integration Security Clientserver Application Development Web Engineering                                   ,"MSc, Big Data Analytics Robert Gordon University","Bachelor of Engineering - BE, Software Engineering University of Westminster"," St. Benedict's College, Colombo-13",Software Engineer WSO2,Software Engineer IFS,Software Engineering Intern Navotar Inc, ,Software Engineer,0
44,sachin-pathirana-465808137,Java JavaScript MySQL Cascading Style Sheets CSS SQL Git HTML English Leadership Angular C NET Framework Angular Material ASPNET Core                                      ,"Bachelor of Science Honours in Information technology Specialized in Software Engineering, Computer Software Engineering SLIIT","Physical Sciences St. Thomas' College, matale", Galewela Primary College,Senior Software Engineer Data Capture Experts,Software Engineer Data Capture Experts,Associate Software Engineer Data Capture Experts,Associate Software Engineer QualitApps Europe S.L,Senior Software Engineer,0
45,lakshan-gunarathna,Java JavaScript PHP Cascading Style Sheets CSS Web Development Linux Machine Learning Data Analysis Software Development Adobe Photoshop Teamwork Leadership ObjectOriented Programming OOP MongoDB Adobe Illustrator Firebase Python Data Mining Data Analytics Hadoop Hive R Microsoft Power BI Microsoft SQL Server Apache Spark Cloud Computing MapReduce Apache Kafka C Spring Boot Hibernate Text Analytics Microservices Oracle Database Spring MVC Internet of Things IoT CodeIgniter Research and Development RD Splunk Redis Oracle Weblogic Server JQuery jQuery Mobile Traffic Managers        ,"Bachelor of Engineering - BE, Software Engineering University of Westminster","Bachelor of Engineering - BE, Software Engineering Informatics Institute of Technology (IIT)", Royal International School - Kurunegala,Software Engineer IFS,Software Engineer Virtusa,Software Engineer BT,Trainee Software Engineer Virtusa,Software Engineer,0
46,bimali-jayathri-44626a17b,Java JavaScript Python Programming Language MySQL C Programming Language C Angular OpenCV JavaServer Pages JSP Sailsjs                                          ,"BSC (Hons), Computer Science and Software Engineering University of Bedfordshire","HigDiploma, Information Technology SLIIT", St'annes Balika vidyalaya,Associate Software Engineer Data Capture Experts,Associate Software Engineer Codevus, , ,Associate Software Engineer,0
